,Page,Clicks,Impressions,CTR,Position,Avg. Time on Page,Bounce Rate,Exit,Pageviews,Unique Pageviews
341,https://miratrix.co.uk/tag/t-mobile-digits/,0,24,0%,56.08,0 days 00:00:00.000000000,100.0,100.0,1,1
345,https://miratrix.co.uk/app-marketing-at-christmas/,0,23,0%,31.13,0 days 00:00:00.000000000,100.0,100.0,4,4
346,https://miratrix.co.uk/new-app-could-be-the-future-for-retail/,0,23,0%,33.04,0 days 00:00:18.000000000,0.0,0.0,1,1
353,https://miratrix.co.uk/tag/app-store-optimisation/,0,22,0%,32.91,0 days 00:00:00.000000000,100.0,100.0,1,1
375,https://miratrix.co.uk/blog/page/3/,0,19,0%,14.53,0 days 00:00:00.000000000,100.0,100.0,1,1
384,https://miratrix.co.uk/automate-everything-die-mtx59/,0,18,0%,6.94,0 days 00:00:00.000000000,100.0,100.0,1,1
393,https://miratrix.co.uk/author/apartridge/,0,18,0%,49.0,0 days 00:00:00.000000000,0.0,100.0,1,1
396,https://miratrix.co.uk/tag/steam-link-app/,0,18,0%,55.11,0 days 00:00:00.000000000,100.0,100.0,1,1
404,https://miratrix.co.uk/leveraging-vacant-shop-window/,0,17,0%,48.59,0 days 00:00:00.000000000,100.0,100.0,1,1
412,https://miratrix.co.uk/marketing-apps-at-christmas/,0,16,0%,31.0,0 days 00:00:00.000000000,0.0,100.0,2,2
440,https://miratrix.co.uk/weekly-round-up-12/,0,14,0%,36.79,0 days 00:00:00.000000000,0.0,100.0,1,1
459,https://miratrix.co.uk/analytics-and-investments/selfie-age-pic/,0,13,0%,16.0,0 days 00:00:00.000000000,0.0,100.0,1,1
461,https://miratrix.co.uk/blog/page/22/,0,13,0%,20.23,0 days 00:00:00.000000000,0.0,100.0,1,1
466,https://miratrix.co.uk/tag/halifax/,0,13,0%,62.69,0 days 00:00:00.000000000,100.0,100.0,1,1
470,https://miratrix.co.uk/tag/teensafe-app/,0,13,0%,69.92,0 days 00:00:00.000000000,100.0,100.0,1,1
471,https://miratrix.co.uk/high-street-vs-internet-round-1/,0,13,0%,75.77,0 days 00:00:00.000000000,100.0,100.0,1,1
478,https://miratrix.co.uk/category/mtx-noisy-video/page/2/,0,12,0%,29.5,0 days 00:00:00.000000000,100.0,100.0,1,1
481,https://miratrix.co.uk/weekly-round-up/,0,12,0%,38.33,0 days 00:00:00.000000000,0.0,100.0,1,1
492,https://miratrix.co.uk/tag/mobile-app-fraud/,0,12,0%,73.17,0 days 00:00:00.000000000,100.0,100.0,1,1
498,https://miratrix.co.uk/skills-marketer-future/,0,11,0%,19.73,0 days 00:00:00.000000000,100.0,100.0,1,1
499,https://miratrix.co.uk/clash-royale-600-app-reviews-beta/clash-royale-app-reviews/,0,11,0%,20.64,0 days 00:00:00.000000000,100.0,100.0,1,1
